'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature',diagnostic
1.089636,0.685549,0.695821,0.215565,0.887802,0.046658,1
0.159642,0.15254,0.924432,0.340943,0.973953,0.116305,3
0.143204,0.141721,0.929284,0.382562,0.991562,0.14638,6
0.364851,0.294081,0.859957,0.33886,0.954108,0.114943,1
0.206614,0.201603,0.899699,0.389019,0.943084,0.151408,3
0.994251,0.600078,0.737131,0.246653,0.871767,0.061074,3
0.656923,0.356826,0.848503,0.37587,0.882434,0.141338,1
0.197011,0.188631,0.906499,0.34256,0.976141,0.117403,5
0.603085,0.41991,0.807532,0.298457,0.901109,0.089197,2
0.116385,0.116362,0.941821,0.519613,0.925432,0.270073,3
0.319795,0.276638,0.865941,0.277789,0.973963,0.077237,2
0.830673,0.527185,0.764792,0.263629,0.885078,0.069643,1
0.174718,0.17239,0.914038,0.453152,0.942404,0.205468,3
0.14511,0.144587,0.927759,0.368902,0.971118,0.13616,1
0.239242,0.212281,0.896461,0.324929,0.968823,0.105707,3
0.289842,0.26913,0.867503,0.285087,0.969116,0.081358,1
0.07158,0.071574,0.964214,0.494228,0.972391,0.244281,2
0.087738,0.087738,0.956131,0.689349,0.958955,0.47523,5
0.150288,0.130442,0.936611,0.431768,0.972764,0.186443,1
0.100382,0.098277,0.951071,0.434471,0.978291,0.188801,3
0.157157,0.148143,0.926803,0.464113,0.966981,0.215461,1
0.173411,0.167606,0.916774,0.402575,0.965772,0.162125,1
0.438503,0.284018,0.871761,0.399376,0.915769,0.1596,4
0.181119,0.17065,0.915692,0.379798,0.955113,0.144318,3
0.131938,0.131846,0.934086,0.412295,0.965881,0.170018,1
0.168382,0.163557,0.918702,0.454953,0.932142,0.207073,2
0.91787,0.523019,0.77302,0.225574,0.940852,0.050994,1
0.21203,0.163551,0.922499,0.389597,0.965659,0.151826,2
0.52807,0.334313,0.849821,0.35631,0.912251,0.127069,1
0.228733,0.216786,0.892785,0.392194,0.920247,0.153945,1
0.177921,0.174093,0.913334,0.399309,0.946004,0.159535,1
1.051358,0.520227,0.78509,0.291661,0.909485,0.085142,1
